raw,processed,label
Produknya ga ada masalah; cuma dikirimnya parah lama bgt total almost 10 days nunggu; padahal official store yg seharusnya demand tinggi bukan suatu masalah besar tapi jadi alasan dikirimnya lama HAHA big no,produk tidak ada masalah cuma kirim parah lama banget total almost days tunggu padahal official store yang harus demand tinggi bukan suatu masalah besar tapi jadi alas kirim lama tertawa big no,0
kurir nya sembrono,kurir nya sembrono,0
Tidak sesuai antara judul dengan keterangan; Judul tertera Rinso Matic Deterjen Cair; keterangan Rinso bubuk. Menipu bagi pembeli yang kurang cermat membaca,tidak sesuai antara judul dengan terang judul tera rinso matic deterjen cair terang rinso bubuk tipu bagi beli yang kurang cermat baca,0
Pesan 8pcs bottle cleaner 750ml; tp yg dikirim 5pcs bottle cleaner; sisanya deterjen bayi. Kapok belanja disini; tertarik beli krn official store; eh taunya zonk. Dikomplain malah ditolak; banyak alasan tetek bengek. Terima kasih atas pelayanannya yang sangat buruk.,pesan pcs bottle cleaner ml tapi yang kirim pcs bottle cleaner sisa deterjen bayi kapok belanja sini tarik beli karena official store eh tau bodoh komplain bahkan tolak banyak alas tetek bengek terima kasih atas layan yang sangat buruk,0
kalengnya penyok; pdhal pake buble wrap dan dus lumayan gede...,kaleng penyok padahal pakai buble wrap dan dus lumayan gede,0
sudah dibatalkan karna salah alamat tapi tetap dikirim,sudah batal karena salah alamat tapi tetap kirim,0
kapok belanja di toko ini; 15 THN baru sampe pesanan saya; sepertinya susunya Memes dulu sapi yang dari Australia,kapok belanja di toko ini tahun baru sampai pesan saya seperti susu mes dulu sapi yang dari australia,0
lamààaaaaaa kirimnya,salam jadi orang kirim,0
Disemprot tidak menyebar,semprot tidak sebar,0
Pembelian nescafe paket tdk dikirim..ttp pihak nestle stlh dikonfirmasi oleh tokopedia akan mengirimkan paket stlh lebaran,beli nescafe paket tidak kirim tetap pihak nestle telah konfirmasi oleh tokopedia akan kirim paket telah lebaran,0
Waktu gw beli cuma keluar pilihan kurir wahana; ternyata diganti JnT; pengiriman lama; 6 hari kerja; pdhal jkt - bekasi.. parah banget,waktu aku beli cuma keluar pilih kurir wahana nyata ganti jnt kirim lama hari kerja padahal jakarta bekas parah banget,0
Barang cepat sekali sampainya. Packaging ok; pake kardus trus dibubble wrap. Cuma sayang ada rembesan; untungnya cuma sedikit.  Seharusnya diselotip perbatasan tutup botolnya spy ga tumpah. Semoga next bs improve ya. Tq ,barang cepat sekali sampai packaging ok pakai kardus terus dibubble wrap cuma sayang ada rembes untung cuma sedikit harus diselotip batas tutup botol supaya tidak tumpah moga lanjut bisa improve iya thank you,0
Admin kurang bisa diajak komunikasi dan tdk mengerti proses cancel order.. diminta tlg pending krn double order krn error pembayaran; malah diproses alasannya srh lgs ke toped; proses cancel order aja stlh 2jam order ya mana bs kalau admin lgs plh pick up ,admin kurang bisa ajak komunikasi dan tidak erti proses batal order minta tolong pending karena double order karena error bayar bahkan proses alas srh langsung ke toped proses batal order saja telah jam order iya mana bisa kalau admin langsung plh pick up,0
packingnya yg pertama rusak wkt di terima kurir dan kurir mengabarkan kondisi barang rembes dr dlm shg hrs di komplain; jadi lama saja proses klaim nya dan ini pesan yg ke dua stlh ada kurleb 1 Minggu dr pesanan pertama; maybe next time packingnya agar lebih baik terutama dlm bentuk cairan hrs benar secure kardus n bubble wrap nya Krn pasti di pengiriman kita tidak tahu bgmn perlakuannya thd barang/paket tsb...semoga lebih baik lagi kedepannya...terima kasih,packingnya yang pertama rusak waktu di terima kurir dan kurir abar kondisi barang rembes dari dalam sehingga harus di komplain jadi lama saja proses klaim nya dan ini pesan yang ke dua telah ada kurleb minggu dari pesan pertama maybe lanjut time packingnya agar lebih baik utama dalam bentuk cair harus benar secure kardus dan bubble wrap nya karena pasti di kirim kita tidak tahu bagaimana laku hadap barang paket sebut moga lebih baik lagi depan terima kasih,0
beli rinso 2. pecah 1. karna cara kemas rinsonya di tumpuk dengan wipol 2 buah; rinso juga; trika 2 baru di buble wrap tipis. cuma 1 bubble wrap ga double. dan di masukin ke kardus bersama pesanan yg lainnya. alhasil rinso pecah dan kenain semua pesanan lainnya termasuk buahvita.  masukan utk penjual; kalau bisa 1 produk di bubble wrap jadi aman. mungkin Unilever terlalu irit cuma ngebuble wrap 1 lembar utk semua produk sabun. dan di komplain tapi di tolak. ,beli rinso pecah karena cara kemas rinsonya di tumpuk dengan wipol buah rinso juga trika baru di buble wrap tipis cuma bubble wrap tidak double dan di masuk ke kardus sama pesan yang lain alhasil rinso pecah dan kenain semua pesan lain masuk buahvita masuk untuk jual kalau bisa produk di bubble wrap jadi aman mungkin unilever terlalu irit cuma ngebuble wrap lembar untuk semua produk sabun dan di komplain tapi di tolak,0
Pengirimannya mohon dipercepat lagi,kirim mohon cepat lagi,0
masalah di packing; pas dibuka ada yg bocor 1.. tetesan bocor kemana2,masalah di packing pas buka ada yang bocor tetes bocor mana,0
7 hari baru sampe,hari baru sampai,0
beberapa penyok. dus packing terlalu besar.,beberapa penyok dus packing terlalu besar,0
kemasan tdk rapih,kemas tidak rapi,0
barang yg dikirim beda dgn foto di etalase..,barang yang kirim beda dengan foto di etalase,0
Ini ukuran kecil; bukan untuk org dewasa,ini ukur kecil bukan untuk orang dewasa,0
kalo kata cha eun woo rasanya unik 😆 mgkn krn saya suka beli kopi2 macchiato sekali minum gt ya jadi kyk ngebandingin.. tetap selera orang beda2 sih ini menurut saya 😀 kemas cukup aman;bunnle wrap nya berlapis lapis;mantap,jika kata cha eun woo rasa unik mungkin karena saya suka beli kopi macchiato sekali minum begitu iya jadi kayak ngebandingin tetap selera orang beda sih ini turut saya kemas cukup aman bunnle wrap nya lap lapis mantap,0
Bintang 3 karena packing buruk; dari kurir posisi kardus udah kebuka; walaupun barang lengkap; untung gaada yg tercecer,bintang karena packing buruk dari kurir posisi kardus sudah buka walaupun barang lengkap untung tidak ada yang cecer,0
dibawah ekpektasi aroma yang saya mau. ternyata aroma sitrus mirip spalding.,bawah ekpektasi aroma yang saya mau nyata aroma sitrus mirip spalding,0
free gift tas tidak dikasih warna hitam; saya minta yg hitam,bebas gift tas tidak kasih warna hitam saya minta yang hitam,0
baunya kurang segar,bau kurang segar,0
Tidak saya terima barangnya. Akan saya update ulasannya kalau sudah diberikan hak saya. Thank you ,tidak saya terima barang akan saya update ulas kalau sudah beri hak saya thank you,0
Parah!!!! Beli rexona nya 2 pcs + lifebouy 900ml  yg dateng cuma rexona 1 pcs dan lifebouynya aja!!!,parah beli rexona nya pcs lifebouy ml yang datang cuma rexona pcs dan lifebouynya saja,0
produk dikirim asal asalan,produk kirim asal asal,0
Tidak ada yg lebih buruk dari pada pelayanan OS Unilever. Penipu,tidak ada yang lebih buruk dari pada layan os unilever tipu,0
sy kecewa krn isi sampo tidak penuh sepertiny di kurangi isi ny ; semoga ke depan ny bisa lebih amanah,saya kecewa karena isi sampo tidak penuh sepertiny di kurang isi nya moga ke depan nya bisa lebih amanah,0
Packing bagus..cuman saya kecewa juga..karna kurang rapi,packing bagus hanya saya kecewa juga karena kurang rapi,0
Ga dapat cashback,tidak dapat cashback,0
Produk ok cm lama banget baru datang😰,produk ok cuma lama banget baru datang,0
Ada 2 kaleng sdh peot; namun saya terima saja; daripada harus dibalikan jadi repot di ongkirnya. terimakasih,ada kaleng sudah peot namun saya terima saja daripada harus balik jadi repot di ongkirnya terimakasih,0
Ide produk bagus dan dibutuhkan dimasa pandemi;  tapi parfumnya terlalu keras/norak; jadi pusing. Gak jadi digunakan. Kembali pakai hand sanitiser spray aja krn lebih soft aromanya. Tujuan utamanya utk desinfektan tokh; bukan utk menutup bau.,ide produk bagus dan butuh masa pandemi tapi parfum terlalu keras norak jadi pusing enggak jadi guna kembali pakai hand sanitiser spray saja karena lebih soft aroma tuju utama untuk desinfektan tokh bukan untuk tutup bau,0
PENGIRIMAN SANGAT LAMA,kirim sangat lama,0
kan isi 2 kenapa sampainya 1 doank?,kan isi kenapa sampai doang,0
pengiriman lambat sekali.. perlu ada perbaikan serius..,kirim lambat sekali perlu ada baik serius,0
Produk bagus; bintang 1 karena pengemasan produk; dimana produk makanan disatukan dan dikemas dalam 1 plastik wrap. Akibatnya produk makanan terkena tumpahan produk kebersihan toilet.,produk bagus bintang karena emas produk mana produk makan satu dan kemas dalam plastik wrap akibat produk makan kena tumpah produk bersih toilet,0
Kecewa banget lah pesanan hampir 2 minggu ga sampe sampe. Dari tokonya gada penjelasan juga disuruh nunggu mulu. Beli dari 2 november ampe skrg belum dateng,kecewa banget lah pesan hampir minggu tidak sampai sampai dari toko tidak ada jelas juga suruh tunggu terus beli dari november sampai sekarang belum datang,0
packing tidak safety,packing tidak safety,0
ga usah ditanya kl soal rasa; itungan packingnya luwaarr binasa; bikin males belanja banyak2,tidak perlu tanya kalo soal rasa hitung packingnya luwaarr binasa buat malas belanja banyak,0
Barang lengkap namun pengirim tidak bertanggung jawab untuk barang yang diterima konsumen sesuai gambar.Packing bubble yg digunakan oleh pengirim tidak menjamin barang yg diterima tidak rusak.,barang lengkap namun kirim tidak tanggung jawab untuk barang yang terima konsumen sesuai gambar packing bubble yang guna oleh kirim tidak jamin barang yang terima tidak rusak,0
hati hati belanja disini; barang tidak dikirim semua permainan org gudangnya zolim ingin dapat untung dengan tidak mengirim semua barang dan proses pengajuan complain tb tb selesai tanpa ada pengembalian dana atau barang. busuk kalian..!!,hati hati belanja sini barang tidak kirim semua main orang gudang zolim ingin dapat untung dengan tidak kirim semua barang dan proses aju complain tb tb selesai tanpa ada kembali dana atau barang busuk kalian,0
Penjual tdk amanah...pesan yg kopi lampung..dikirimnya bukan yg ada tulisan kopi lampungnya didepan. pdhl juga sudah diingatkan di note. mau komplain males..rugi ongkir!!!,jual tidak amanah pesan yang kopi lampung kirim bukan yang ada tulis kopi lampung depan padahal juga sudah ingat di note mau komplain malas rugi ongkos kirim,0
waktu pengirimannya lama dibanding seller lain,waktu kirim lama banding seller lain,0
ok; tks,ok terima kasih,0
Lg beli di kejar diskon hrg nya 55 rb pas wkt nya dah slesai stok habis tp mlh muncul dgn hrg promo yg lbh murah 53 rb hr ini ada di kejar diskon lg hrg nya turun jd 52 rb tp dah males ikutin kejar diskon lg kalau ternyata hrg nya sama aja mlh lbh murah beli di unilever official store,lagi beli di kejar diskon hrg nya ribu pas waktu nya sudah selesai stok habis tapi malah muncul dengan hrg promo yang lebih murah ribu hari ini ada di kejar diskon lagi hrg nya turun jadi ribu tapi sudah malas ikut kejar diskon lagi kalau nyata hrg nya sama saja malah lebih murah beli di unilever official store,0
order pertama dibatalkan.  terpaksa membeli 3box;  krn voucher pengganti min 200rb.  ,order pertama batal paksa beli box karena voucher ganti min ribu,0
kelengkapan barang tidak sesuai dengan depkripsi.,lengkap barang tidak sesuai dengan depkripsi,0
pesan tgl 14; dipaket tgl 14; diambil kurir tgl 19 dan diterima tgl 20 di bgr. produk tidak sesuai dgn judulnya; katanya ada 12 sachet kecil di dalamnya; ternyata tidak. soal rasa masih tetap milo. enak. masukan aja; judul diganti sesuaikan dengan deskripsi dan estimasi pengiriman ke Bogor 2-3 hari aja. Terima kasih,pesan tanggal paket tanggal ambil kurir tanggal dan terima tanggal di bgr produk tidak sesuai dengan judul kata ada sachet kecil di dalam nyata tidak soal rasa masih tetap milo enak masuk saja judul ganti sesuai dengan deskripsi dan estimasi kirim ke bogor hari saja terima kasih,0
Barang belum diterima,barang belum terima,0
Pengiriman nya lama ,kirim nya lama,0
Promo ada hadiah bacaan nya tapi fakta nya sampai di rumah tidak ada.. rada kecewa. Terimakasih.,promo ada hadiah baca nya tapi fakta nya sampai di rumah tidak ada agak kecewa terimakasih,0
sekali pun beli di official shop tidak menjamin barang yg dikirim kualitasnya bagus. Beli Axe saku multipack isi 3. satu kemasan dalam kondisi sudah robek dan isi sepertinya sdh berkurang. Sudah komplain tapi ditolak krn dianggap tidak cukup bukti....     ,sekali pun beli di official shop tidak jamin barang yang kirim kualitas bagus beli axe saku multipack isi satu kemas dalam kondisi sudah robek dan isi seperti sudah kurang sudah komplain tapi tolak karena anggap tidak cukup bukti,0
ngepacknya terlalu asal2an untung gaada yang bocor; sampe sabun batangnya patah. udah pengirimannya lama.,ngepacknya terlalu asal an untung tidak ada yang bocor sampai sabun batang patah sudah kirim lama,0
barang ok; tp pengiriman LAMAAAAAAAAA banget,barang ok tapi kirim lama banget,0
Ancur semua kaleng susu dlm kondisi ga layak; klo customer complaint Cs nestle blg mau dibantu pindah ke chat bohong krn ga prnh ada pelayanan spt itu,hancur semua kaleng susu dalam kondisi tidak layak kalau customer complaint cs nestle bilang mau bantu pindah ke chat bohong karena tidak pernah ada layan seperti itu,0
brg ga d kirim; d ganti cornflakes tanpa konfirmasi ty dulu,bareng tidak di kirim di ganti cornflakes tanpa konfirmasi ty dulu,0
Pengiriman terlalu lama,kirim terlalu lama,0
pada bocor semua; semua botol isinya berkurang;1 botol kosong; botol tidak disegel lagi; kardus sampai basah,pada bocor semua semua botol isi kurang botol kosong botol tidak segel lagi kardus sampai basah,0
Baru kali ini pesan pond&#39;s white beauty di kirim nya yang bright beauty; mohon di cek kembali ketersediaan barang atau mungkin lebih teliti lagi sebelum di kirim; krn kalau di lihat di katalog produk dan harga bright beauty ini berbeda; thanks...,baru kali ini pesan pond si white beauty di kirim nya yang bright beauty mohon di cek kembali sedia barang atau mungkin lebih teliti lagi belum di kirim karena kalau di lihat di katalog produk dan harga bright beauty ini beda terima kasih,0
pesen apa dikirim apa,pesan apa kirim apa,0
Dibuka kardus ya penuh serbuk KOPI; sangat kecewa kok bisa didalam kardusnya plastiknya sobek; itu QC nya ;atau pengepakan yg Salah; parah,buka kardus iya penuh serbuk kopi sangat kecewa kok bisa dalam kardus plastik sobek itu qc nya atau epak yang salah parah,0
maaf karena dianternya lama saya kasih 3bintang ya,maaf karena anter lama saya kasih bintang iya,0
response cepat harga ok. masalah di kurir pengiriman yg delay 5 hari. siapa yg salah; i dont know. harus nya toko punya solusi lain ketika kurirnya bermasalah.,response cepat harga ok masalah di kurir kirim yang delay hari siapa yang salah saya dont know harus nya toko punya solusi lain ketika kurir masalah,0
di gambar nya beli 1 + 1 dan bonus tisu tp yg dtg cm bonus tisu ;1 botol bukan 2...(aneh) apa saya yg salah baca ,di gambar nya beli dan bonus tisu tapi yang datang cuma bonus tisu botol bukan aneh apa saya yang salah baca,0
dos bolong terus d solasi .. ini.msh musim kemarau lho..bgmn klo.musim hujan ?bs ludes karton packingnya..untung barang nya tdk hilang,dos bolong terus di solasi ini masih musim kemarau lho bagaimana kalau musim hujan bisa ludes karton packingnya untung barang nya tidak hilang,0
order yg ini tp yg dikirim yg eau de parfume enchanting gold; dari segi hrg beda jauh,order yang ini tapi yang kirim yang eau deh parfume enchanting gold dari segi hrg beda jauh,0
Pengiriman lama banget....1 minggu. Kedepannya bisa dipercepat ya,kirim lama banget minggu depan bisa cepat iya,0
pengalaman pertama belanja di official store ini sekaligus yang terakhir.  lebih baik belanja di toko lain utk produk serupa dibanding di sini. PROSES ORDER dan PENGIRIMAN LAMA meskipun barang sesuai dan respon “bot” serta template yg cepat.,alam pertama belanja di official store ini sekaligus yang akhir lebih baik belanja di toko lain untuk produk rupa banding di sini proses order dan kirim lama meski barang sesuai dan respon bot serta template yang cepat,0
Barang Nya si Oke tapi  Pengemasan paket nya tolong diperbaiki yang rapih agar tidak mudah  robek; untuk aja barangnya ga ilang 😉,barang nya sih oke tapi emas paket nya tolong baik yang rapi agar tidak mudah robek untuk saja barang tidak hilang,0
Barang selamat ; tapi pengiriman lambat banget.,barang selamat tapi kirim lambat banget,0
bocor.  paketnya kurang aman.,bocor paket kurang aman,0
lama prosesnya seminggu baru dikirim !!!,lama proses minggu baru kirim,0
kemasan PPKm level 4; pada kebuka semua; tidak pernah ada penggantian; dari tgl 10 - 25 Agustus infonya cm tunggu..tunggu.. tunggu.. parah; tau begini mendingan beli di toko biasa.. harganya lebih murah walaupun Unilever pake promo2 discount tetep mahal ..,kemas ppkm level pada buka semua tidak pernah ada ganti dari tanggal agustus info cuma tunggu tunggu tunggu parah tahu begini mending beli di toko biasa harga lebih murah walaupun unilever pakai promo discount tetap mahal,0
packing kurang rapi. vixalnya tumpah sedikit2,packing kurang rapi vixalnya tumpah sedikit,0
isi nya setengah,isi nya tengah,0
baru kali ini; kemasan ada yg bocor/tumpah.  padahal packing spt biasa; cukup aman. mungkin dr pihak ekspedisi/kurir yg kurang hati2.  Sdh sering &amp; rutin transaksi produk ini; baru kali ini ada yg bocor/pecah.  btw; seller sih tetap recommended. kurir/ekspedisi yg hrs lbh hati2,baru kali ini kemas ada yang bocor tumpah padahal packing seperti biasa cukup aman mungkin dari pihak ekspedisi kurir yang kurang hati sudah sering amp rutin transaksi produk ini baru kali ini ada yang bocor pecah ngomong-ngomong seller sih tetap recommended kurir ekspedisi yang harus lebih hati,0
+ bonus tas nya bahannya bagus banget! + ada bonus coco crunch juga padahal gak disebutin di deskripsi barang.  - kaleng semua penyok mulai dari penyok kecil sampe besar.,bonus tas nya bahan bagus banget ada bonus coco crunch juga padahal enggak disebutin di deskripsi barang kaleng semua penyok mulai dari penyok kecil sampai besar,0
Bocor sisa stgh botol.,bocor sisa tengah botol,0
sebenarnya sudah coba batalin transaksi ini karena ternyata harga flash salenya tidak murah masih ada yang lebih murah harganya walaupun tanpa promo flash sale,benar sudah coba batalin transaksi ini karena nyata harga flash sale tidak murah masih ada yang lebih murah harga walaupun tanpa promo flash sale,0
1 Molto dalam kondisi bocor,molto dalam kondisi bocor,0
Lama banget kirimnya; sebelum ppkm darurat saya beli tgl 28 Jun kalau tidak salah; baru sampe tgl 3 Jul (ETA Tokped sampai tgl 1). Tidak ada pernyataan maaf juga keterlambatan barang.,lama banget kirim belum ppkm darurat saya beli tanggal jun kalau tidak salah baru sampai tanggal jul eta tokped sampai tanggal tidak ada nyata maaf juga lambat barang,0
yg capuccino ngga kebagian padahal ini 3 varian,yang capuccino tidak bagi padahal ini varian,0
Bagian semprotannya rusak ga bisa naik otomatis :(,bagi semprot rusak tidak bisa naik otomatis,0
produk tumpah; packaging kardus robek robek. tlg ditingkatkan kualitas kardus packagingnya..,produk tumpah packaging kardus robek robek tolong tingkat kualitas kardus packagingnya,0
saya dibohongi;saya diinfo barang sudah dikirim tapi setelah saya ajukan komplain penjual baru bilang barang ternyata belum dikirim. Pengiriman tidak sesuai estimasi yg dijanjikan (pengirimannya lama banget)!!,saya bohong saya info barang sudah kirim tapi telah saya aju komplain jual baru bilang barang nyata belum kirim kirim tidak sesuai estimasi yang janji kirim lama banget,0
telat lama bgt; ga siap menghadapi orderan banyak; kopinya ga cocok di lambungku; bikin pusing... hampir kukasih 1 bintang; ga jadi krn ada bonus 1 kaleng,lambat lama banget tidak siap hadap order banyak kopi tidak cocok di lambung buat pusing hampir kasih bintang tidak jadi karena ada bonus kaleng,0
Barangnya kurang 1 wipol; udah di tanyain; dan dijelasin tp jawaban standard; otomatis sistem; tidak memuaskan,barang kurang wipol sudah di tanya dan dijelasin tapi jawab standard otomatis sistem tidak muas,0
Barang original tetapi KEMASAN BOCOR sangat disayangkan saat packing hrsnya lebih diperhatikan.,barang original tetapi kemas bocor sangat sayang saat packing harus lebih perhati,0
Barang Tidak Diterima Sama Sekali.,barang tidak terima sama sekali,0
tempat koko krunchnya pecah,tempat koko krunchnya pecah,0
Bonus nya tidak sesuai harapan yaitu clip holder ;namun disisi lain dikasih extra bonus Koko crunch ,bonus nya tidak sesuai harap yaitu clip holder namun sisi lain kasih extra bonus koko crunch,0
barang ok; proses lama,barang ok proses lama,0
ini tanggal expired ya? sayang bgt Toko kenamaan jual barang expire gini 👎👎👎,ini tanggal expired iya sayang banget toko nama jual barang expire begini,0
Pengiriman ke Bekasi sangat lama. Dan slow respon untuk admin.,kirim ke bekas sangat lama dan slow respon untuk admin,0
Pd saat sampai 1 molto bocor,pada saat sampai molto bocor,0
Tumpah Yang 1 tutup nya kebuka,tumpah yang tutup nya buka,0
sangat buruk; barang tidak sampai ke lokasi bahkan uang tidak dikembalikan.,sangat buruk barang tidak sampai ke lokasi bahkan uang tidak kembali,0
Rexona charcoalnya kurang 1 (harusnya 3; dikasih 2).. smoga next time bisa di cek kembali sbelum kirim (kan official store) Ga saya videoin unboxingnya karena saya percaya official store.. eh ternyata..,rexona charcoalnya kurang harus kasih moga lanjut time bisa di cek kembali belum kirim kan official store tidak saya videoin unboxingnya karena saya percaya official store eh nyata,0
kecewa :( pesan dr september ; pas barang sampai dr pihak kurir ternyata tumpah . tunggu sampai sebulan udh komplain masi direspon lambat oleh kurir dan admin toped . udah 1 bulan ujung &#34; balikin duit ke saldo ,kecewa pesan dari september pas barang sampai dari pihak kurir nyata tumpah tunggu sampai bulan udah komplain masih direspon lambat oleh kurir dan admin toped sudah bulan akhir balikin duit ke saldo,0
